cliente_csv,cliente_id,valor_anterior,valor_novo,status,mensagem
CIA BEAL DE ALIMENTOS,414,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
CIMA ENGENHARIA E EMPREENDIMENTOS LTDA,19,,1.10,PENDENTE_REVISAO,Match precisa de revisao manual.
CONTROLSUL GESTÃO EMPRESARIAL,20,1.35,1.35,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
COSTA OESTE SERVIÇOS DE LIMPEZA,21,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
CSD - COMPANHIA SULAMERICANA DE DISTRIBUICAO,432,,1.78,PENDENTE_REVISAO,Match precisa de revisao manual.
CURICACA - ARMAZENS GERAIS LTDA,23,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
DAPONT & CIA LTDA,24,1.78,1.78,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
DELARA SUPERMERCADO LTDA,25,,1.78,PENDENTE_REVISAO,Match precisa de revisao manual.
DILETTARE,26,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
DIST. CIRCUITO - CIRCUITO ATACADO E VAREJO,27,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
D'MARCHE INDÚSTRIA DE COSMETICOS LTDA,441,,1.35,PENDENTE_REVISAO,Match precisa de revisao manual.
ELETROTRAFO PRODUTOS ELETRICOS,29,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
ERVA MATE SANTO ANTONIO,30,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
ESCRITÓRIO UNIVERSAL,31,1.35,1.35,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
EXPOFRUT BRASIL IMPORTADORA E EXPORTADORA LTDA,159,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
FAROL COMERCIO DE ALIMENTOS EIRELI,33,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
GERALDO ALGERI & CIA LTDA,34,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
GILBERTO ALVIN ZOLLER,597,,2.00,PENDENTE_REVISAO,Match precisa de revisao manual.
GRACZYKI & GRACZYKI,36,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
GRAND VALLE AGRICOLA IMPORTADORA E EXPORTADORA LTDA,169,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
GRUPO ENDO,38,1.78,1.78,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
GRUPO VALOR,39,1.54,1.54,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
GUERRO & PAGNUSSAT LTDA,40,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
H.E. IND. E COM. DE LATICINIOS LTDA,41,,1.78,PENDENTE_REVISAO,Match precisa de revisao manual.
HELLEN COLCHÕES,42,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
ICTUS SOLUÇÕES EM ENERGIA LTDA,138,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
IGUMA COMERCIO DE CEREAIS,44,,1.78,PENDENTE_REVISAO,Match precisa de revisao manual.
INDEX FLORESTAL LTDA,554,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
INDUSTRIA DE CONFECCOES K-DU,46,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
INSTITUTO ALTA PERFORMANCE,47,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
IRMÃOS NETTO LTDA,452,,1.78,PENDENTE_REVISAO,Match precisa de revisao manual.
ITALIANINHA TRANSPORTES DE PASSAGEIROS LTDA,189,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
ITALO SUPERMERCADOS LTDA,50,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
JCHAGAS ALIMENTOS LTDA,51,,1.44,PENDENTE_REVISAO,Match precisa de revisao manual.
JOÃO ANDRADE - HOLDING,52,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
JOÃO MAURICIO DANTAS LEITE,53,,1.10,PENDENTE_REVISAO,Match precisa de revisao manual.
JOÃO MUSSI KALACHE BACH & CIA,54,,1.78,PENDENTE_REVISAO,Match precisa de revisao manual.
JOSÉ ROBERTO TEIXEIRA,376,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
KELVE SUPERMERCADOS,56,,1.35,PENDENTE_REVISAO,Match precisa de revisao manual.
KOLTUN & COLATUSSO LTDA,57,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
KRAEMER & KRAEMER LTDA,58,,1.54,PENDENTE_REVISAO,Match precisa de revisao manual.
L. A. DALL ACQUA & CIA LTDA,59,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
LATICINIOS GUAIRA LTDA,60,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
LEJON AUTO SERVIÇO LTDA,61,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
LEO COSMETICOS LTDA,256,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
LGM SUPERMERCADOS LTDA,469,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
LWEBBER DISTRIBUIDORA LTDA,64,1.78,1.78,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
MARIANO IVASKO & CIA,65,,1.78,PENDENTE_REVISAO,Match precisa de revisao manual.
MERCEARIA MARONESI LTDA,405,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
MINERPHOS,67,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
NESTOR LACHMAN & CIA,68,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
NOMA DO BRASIL S.A.,69,1.78,1.78,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
OBARA MIYAMOTO & CIA LTDA,70,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
PICO COMERCIO DE MOTOS LTDA,72,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
PICO COMERCIO DE MOTOS LTDA,72,,1.38,PENDENTE_REVISAO,Match precisa de revisao manual.
PLANOS SUPERMERCADO LTDA,252,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
PLANTAR,74,1.31,1.31,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
QUIMISUL PRODUTOS DE LIMPEZA EIRELI,75,1.78,1.78,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
RANCHO S VETERINARIA LTDA,76,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
RECCO CONFECÇÕES LTDA,503,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
ROYAL SUPERMERCADOS,,,0,ERRO,linha 77: ['Valor de KM deve ser maior que zero.']
SANCHES & VECCHIATE LTDA,79,1.78,1.78,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SAVANA,80,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SERILON BRASIL LTDA,81,1.10,1.10,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SICOOB CREDICAPITAL,82,,1.35,PENDENTE_REVISAO,Match precisa de revisao manual.
SIVIERO & CIA LTDA,83,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SIVIERO & FILHOS LTDA,84,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
SIVIERO & LOPES LTDA,85,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SORRISO SUPERMERCADOS,86,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SPERAFICO AGROINDUSTRIAL,87,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
SPERAFICO DA AMAZONIA,88,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
STO ANTONIO IND. E COM. DE ALIMENTOS - EIRELI,89,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SUCOS LIFE,90,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SUIAVI ALIMENTOS LTDA,91,,1.78,PENDENTE_REVISAO,Match precisa de revisao manual.
SUPER ATACADO S.A.,389,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
SUPERMERCADO BARP,93,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SUPERMERCADO FREITAS LTDA,94,,1.78,PENDENTE_REVISAO,Match precisa de revisao manual.
SUPERMERCADO GEITTENES & CIA LTDA,95,1.78,1.78,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SUPERMERCADO INDUSTRIAL LTDA,391,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
SUPERMERCADO SAVISKI,97,,1.75,PENDENTE_REVISAO,Match precisa de revisao manual.
SUPERMERCADO TALEVI,98,1.74,1.74,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SUPERMERCADO VIVIAN LTDA,408,,1.00,PENDENTE_REVISAO,Match precisa de revisao manual.
SUPERMERCADOS BAZA LTDA,100,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
SUPERMERCADOS IRANI LTDA,430,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
SUPERMERCARDO BAVARESCO,102,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
TEIXEIRA COMERCIO DE CEREAIS LTDA,464,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
TONELLO E MACHADO DA LUZ LTDA,104,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
TOZETTO E CIA LTDA,350,,1.85,PENDENTE_REVISAO,Match precisa de revisao manual.
UNIÃO SUPLEMENTAÇÃO,106,1.85,1.85,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
VALOR COMMODITIES,107,1.57,1.57,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
WILMSEN & WILMSEN LTDA,108,1.00,1.00,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
Z. HOLDING PARTICIPAÇÕES S/A,109,1.10,1.10,JA_POSSUI_VALOR_KM,Cliente ja possui valor_km; use --sobrescrever para alterar.
